population,raw_cosine,calibrated
whole corpus,0.314108,0.0
whole corpus,0.37099302,0.0
whole corpus,0.27509296,0.0
whole corpus,0.15012437,0.0
whole corpus,0.20725992,0.0
whole corpus,0.29514736,0.0
whole corpus,0.29573885,0.0
whole corpus,0.20164154,0.0
whole corpus,0.38705385,0.0
whole corpus,0.10925248,0.0
whole corpus,0.3264254,0.0
whole corpus,0.30410343,0.0
whole corpus,0.18979734,0.0
whole corpus,0.19665143,0.0
whole corpus,0.34036887,0.0
whole corpus,0.040490635,0.0
whole corpus,0.14828365,0.0
whole corpus,0.41172323,0.0
whole corpus,0.3017215,0.0
whole corpus,0.37526762,0.0
whole corpus,0.20559071,0.0
whole corpus,0.2849347,0.0
whole corpus,0.2902836,0.0
whole corpus,0.30992225,0.0
whole corpus,0.30629227,0.0
whole corpus,0.31272247,0.0
whole corpus,0.29834718,0.0
whole corpus,0.25437617,0.0
whole corpus,0.21818167,0.0
whole corpus,0.2116941,0.0
whole corpus,0.2620125,0.0
whole corpus,0.17962119,0.0
whole corpus,0.2943866,0.0
whole corpus,0.21173486,0.0
whole corpus,0.36277866,0.0
whole corpus,0.29588896,0.0
whole corpus,0.16033722,0.0
whole corpus,0.27649733,0.0
whole corpus,0.41891745,0.0
whole corpus,0.34036946,0.0
whole corpus,0.4604095,0.0
whole corpus,0.26638263,0.0
whole corpus,0.21899295,0.0
whole corpus,0.38558108,0.0
whole corpus,0.3683341,0.0
whole corpus,0.40708265,0.0
whole corpus,0.29080725,0.0
whole corpus,0.3600542,0.0
whole corpus,0.31285182,0.0
whole corpus,0.23147869,0.0
whole corpus,0.37344182,0.0
whole corpus,0.40500492,0.0
whole corpus,0.37435022,0.0
whole corpus,0.32876602,0.0
whole corpus,0.3354122,0.0
whole corpus,0.52055514,0.0
whole corpus,0.5083859,0.0
whole corpus,0.30310965,0.0
whole corpus,0.052858725,0.0
whole corpus,0.24666815,0.0
whole corpus,0.27522793,0.0
whole corpus,0.19070172,0.0
whole corpus,0.28861153,0.0
whole corpus,0.29092896,0.0
whole corpus,0.2912942,0.0
whole corpus,0.3989699,0.0
whole corpus,0.18259159,0.0
whole corpus,0.26737705,0.0
whole corpus,0.28929937,0.0
whole corpus,0.24302864,0.0
whole corpus,0.3084062,0.0
whole corpus,0.27477473,0.0
whole corpus,0.15284568,0.0
whole corpus,0.29965973,0.0
whole corpus,0.3689934,0.0
whole corpus,0.31226748,0.0
whole corpus,0.22643983,0.0
whole corpus,0.4006982,0.0
whole corpus,0.4737044,0.0
whole corpus,0.37352252,0.0
whole corpus,0.28110468,0.0
whole corpus,0.30806124,0.0
whole corpus,0.3692645,0.0
whole corpus,0.20304072,0.0
whole corpus,0.16083086,0.0
whole corpus,0.33276623,0.0
whole corpus,0.31562862,0.0
whole corpus,0.28532678,0.0
whole corpus,0.27336746,0.0
whole corpus,0.28458554,0.0
whole corpus,0.16523147,0.0
whole corpus,0.32981426,0.0
whole corpus,0.32986718,0.0
whole corpus,0.2875285,0.0
whole corpus,0.18302645,0.0
whole corpus,0.18109727,0.0
whole corpus,0.30949104,0.0
whole corpus,0.29503375,0.0
whole corpus,0.5288458,0.0
whole corpus,0.33209944,0.0
whole corpus,0.077796124,0.0
whole corpus,0.3567487,0.0
whole corpus,0.517906,0.0
whole corpus,0.2627039,0.0
whole corpus,0.31271175,0.0
whole corpus,0.30359307,0.0
whole corpus,0.23773544,0.0
whole corpus,0.17085919,0.0
whole corpus,0.040829644,0.0
whole corpus,0.3141886,0.0
whole corpus,0.5407419,0.0
whole corpus,0.17693256,0.0
whole corpus,0.3848293,0.0
whole corpus,0.147353,0.0
whole corpus,0.38519323,0.0
whole corpus,0.109759495,0.0
whole corpus,0.37070012,0.0
whole corpus,0.14297916,0.0
whole corpus,0.3400559,0.0
whole corpus,0.3004951,0.0
whole corpus,0.39574704,0.0
whole corpus,0.3215068,0.0
whole corpus,0.27405125,0.0
whole corpus,0.30957714,0.0
whole corpus,0.30660054,0.0
whole corpus,0.17030494,0.0
whole corpus,0.33899546,0.0
whole corpus,0.4349215,0.0
whole corpus,0.35265768,0.0
whole corpus,0.3485127,0.0
whole corpus,0.31692407,0.0
whole corpus,0.31817877,0.0
whole corpus,0.2918377,0.0
whole corpus,0.32264566,0.0
whole corpus,0.34206972,0.0
whole corpus,0.2640402,0.0
whole corpus,0.40549517,0.0
whole corpus,0.3190404,0.0
whole corpus,0.30479267,0.0
whole corpus,0.28574732,0.0
whole corpus,0.24814755,0.0
whole corpus,0.39790368,0.0
whole corpus,0.26774654,0.0
whole corpus,0.41942272,0.0
whole corpus,0.30951852,0.0
whole corpus,0.4068226,0.0
whole corpus,0.2449714,0.0
whole corpus,0.26369917,0.0
whole corpus,0.31060165,0.0
whole corpus,0.28287315,0.0
whole corpus,0.26537922,0.0
whole corpus,0.18096016,0.0
whole corpus,0.22147568,0.0
whole corpus,0.3509904,0.0
whole corpus,0.5642385,0.0034132865286394315
whole corpus,0.3022884,0.0
whole corpus,0.28713447,0.0
whole corpus,0.17281991,0.0
